ItemID,Condition,Word,WordID,SurprisalGPT2,TargetRegion
4,b_imp,.,24,1.438321590423584,started a diet
5,a_exp,Finn,1,17.777910019120178,felt chilly
5,a_exp, and,2,4.241534233093262,felt chilly
5,a_exp, Daisy,3,9.488304138183594,felt chilly
5,a_exp, were,4,3.861574411392212,felt chilly
5,a_exp, taking,5,6.378745079040527,felt chilly
5,a_exp, a,6,1.9001963138580322,felt chilly
5,a_exp, walk,7,2.7136449813842773,felt chilly
5,a_exp, on,8,2.9717159271240234,felt chilly
5,a_exp, the,9,0.9153850674629211,felt chilly
5,a_exp, beach,10,1.6640924215316772,felt chilly
5,a_exp, early,11,7.113043308258057,felt chilly
5,a_exp, in,12,1.7842695713043213,felt chilly
5,a_exp, the,13,0.09512823075056076,felt chilly
5,a_exp, morning,14,0.37496718764305115,felt chilly
5,a_exp,.,15,1.1265881061553955,felt chilly
5,a_exp, Daisy,16,3.401958465576172,felt chilly
5,a_exp, was,17,1.8451600074768066,felt chilly
5,a_exp, wearing,18,3.631544828414917,felt chilly
5,a_exp, a,19,0.5939905047416687,felt chilly
5,a_exp, thin,20,7.774738311767578,felt chilly
5,a_exp, top,21,4.770092010498047,felt chilly
5,a_exp,.,22,3.4915270805358887,felt chilly
5,a_exp, Therefore,23,9.788019180297852,felt chilly
5,a_exp,",",24,0.4088665544986725,felt chilly
5,a_exp, she,25,1.0654449462890625,felt chilly
5,a_exp, felt,26,4.573472023010254,felt chilly
5,a_exp, chilly,27,9.035089492797852,felt chilly
5,a_exp, at,28,4.139570713043213,felt chilly
5,a_exp, first,29,1.507081151008606,felt chilly
5,a_exp,.,30,0.8763056993484497,felt chilly
5,a_imp,Finn,1,17.777910019120178,felt chilly
5,a_imp, and,2,4.241534233093262,felt chilly
5,a_imp, Daisy,3,9.488304138183594,felt chilly
5,a_imp, were,4,3.861574411392212,felt chilly
5,a_imp, taking,5,6.378745079040527,felt chilly
5,a_imp, a,6,1.9001963138580322,felt chilly
5,a_imp, walk,7,2.7136449813842773,felt chilly
5,a_imp, on,8,2.9717159271240234,felt chilly
5,a_imp, the,9,0.9153850674629211,felt chilly
5,a_imp, beach,10,1.6640924215316772,felt chilly
5,a_imp, early,11,7.113043308258057,felt chilly
5,a_imp, in,12,1.7842695713043213,felt chilly
5,a_imp, the,13,0.09512823075056076,felt chilly
5,a_imp, morning,14,0.37496718764305115,felt chilly
5,a_imp,.,15,1.1265881061553955,felt chilly
5,a_imp, Daisy,16,3.401958465576172,felt chilly
5,a_imp, was,17,1.8451600074768066,felt chilly
5,a_imp, wearing,18,3.631544828414917,felt chilly
5,a_imp, a,19,0.5939905047416687,felt chilly
5,a_imp, thin,20,7.774738311767578,felt chilly
5,a_imp, top,21,4.770092010498047,felt chilly
5,a_imp,.,22,3.4915270805358887,felt chilly
5,a_imp, She,23,1.9288880825042725,felt chilly
5,a_imp, felt,24,4.880852699279785,felt chilly
5,a_imp, chilly,25,7.872312545776367,felt chilly
5,a_imp, at,26,4.219308376312256,felt chilly
5,a_imp, first,27,0.9352141618728638,felt chilly
5,a_imp,.,28,1.8652931451797485,felt chilly
5,b_exp,Finn,1,17.777910019120178,felt chilly
5,b_exp, and,2,4.241534233093262,felt chilly
5,b_exp, Daisy,3,9.488304138183594,felt chilly
5,b_exp, were,4,3.861574411392212,felt chilly
5,b_exp, taking,5,6.378745079040527,felt chilly
5,b_exp, a,6,1.9001963138580322,felt chilly
5,b_exp, walk,7,2.7136449813842773,felt chilly
5,b_exp, on,8,2.9717159271240234,felt chilly
5,b_exp, the,9,0.9153850674629211,felt chilly
5,b_exp, beach,10,1.6640924215316772,felt chilly
5,b_exp, early,11,7.113043308258057,felt chilly
5,b_exp, in,12,1.7842695713043213,felt chilly
5,b_exp, the,13,0.09512823075056076,felt chilly
5,b_exp, morning,14,0.37496718764305115,felt chilly
5,b_exp,.,15,1.1265881061553955,felt chilly
5,b_exp, Daisy,16,3.401958465576172,felt chilly
5,b_exp, was,17,1.8451600074768066,felt chilly
5,b_exp, wearing,18,3.631544828414917,felt chilly
5,b_exp, a,19,0.5939905047416687,felt chilly
5,b_exp, summer,20,7.320156097412109,felt chilly
5,b_exp, dress,21,1.5733497142791748,felt chilly
5,b_exp,.,22,2.6638717651367188,felt chilly
5,b_exp, Therefore,23,10.068726539611816,felt chilly
5,b_exp,",",24,0.4001958668231964,felt chilly
5,b_exp, she,25,1.3477401733398438,felt chilly
5,b_exp, felt,26,4.721096992492676,felt chilly
5,b_exp, chilly,27,9.159932136535645,felt chilly
5,b_exp, at,28,3.9717416763305664,felt chilly
5,b_exp, first,29,1.5919394493103027,felt chilly
5,b_exp,.,30,0.9071841239929199,felt chilly
5,b_imp,Finn,1,17.777910019120178,felt chilly
5,b_imp, and,2,4.241534233093262,felt chilly
5,b_imp, Daisy,3,9.488304138183594,felt chilly
5,b_imp, were,4,3.861574411392212,felt chilly
5,b_imp, taking,5,6.378745079040527,felt chilly
5,b_imp, a,6,1.9001963138580322,felt chilly
5,b_imp, walk,7,2.7136449813842773,felt chilly
5,b_imp, on,8,2.9717159271240234,felt chilly
5,b_imp, the,9,0.9153850674629211,felt chilly
5,b_imp, beach,10,1.6640924215316772,felt chilly
5,b_imp, early,11,7.113043308258057,felt chilly
5,b_imp, in,12,1.7842695713043213,felt chilly
5,b_imp, the,13,0.09512823075056076,felt chilly
5,b_imp, morning,14,0.37496718764305115,felt chilly
5,b_imp,.,15,1.1265881061553955,felt chilly
5,b_imp, Daisy,16,3.401958465576172,felt chilly
5,b_imp, was,17,1.8451600074768066,felt chilly
5,b_imp, wearing,18,3.631544828414917,felt chilly
5,b_imp, a,19,0.5939905047416687,felt chilly
5,b_imp, summer,20,7.320156097412109,felt chilly
5,b_imp, dress,21,1.5733497142791748,felt chilly
5,b_imp,.,22,2.6638717651367188,felt chilly
5,b_imp, She,23,2.2782680988311768,felt chilly
5,b_imp, felt,24,5.237471580505371,felt chilly
5,b_imp, chilly,25,7.972003936767578,felt chilly
5,b_imp, at,26,4.100726127624512,felt chilly
5,b_imp, first,27,0.8739534616470337,felt chilly
5,b_imp,.,28,1.8292934894561768,felt chilly
7,a_exp,Gabe,1,18.651656958958934,took a nap
7,a_exp, had,2,4.772380828857422,took a nap
7,a_exp, just,3,4.214742183685303,took a nap
7,a_exp, arrived,4,3.7632498741149902,took a nap
7,a_exp, in,5,1.3588852882385254,took a nap
7,a_exp, Miami,6,5.456389427185059,took a nap
7,a_exp, for,7,2.3400068283081055,took a nap
7,a_exp, a,8,1.2053948640823364,took a nap
7,a_exp, business,9,5.10656213760376,took a nap
7,a_exp, trip,10,1.2477662563323975,took a nap
7,a_exp,.,11,1.1958327293395996,took a nap
7,a_exp, He,12,1.4221465587615967,took a nap
7,a_exp, felt,13,5.216662883758545,took a nap
7,a_exp, very,14,4.099883079528809,took a nap
7,a_exp, tired,15,3.927539825439453,took a nap
7,a_exp, from,16,3.874661922454834,took a nap
7,a_exp, his,17,1.476500153541565,took a nap
7,a_exp, flight,18,5.405444145202637,took a nap
7,a_exp,.,19,1.9323688745498657,took a nap
7,a_exp, Therefore,20,8.541353225708008,took a nap
7,a_exp,",",21,0.291549950838089,took a nap
7,a_exp, he,22,0.2250637412071228,took a nap
7,a_exp, took,23,3.149966239929199,took a nap
7,a_exp, a,24,1.0904172658920288,took a nap
7,a_exp, nap,25,1.270257830619812,took a nap
7,a_exp, at,26,3.51607346534729,took a nap
7,a_exp, the,27,1.3511686325073242,took a nap
7,a_exp, hotel,28,2.0845112800598145,took a nap
7,a_exp,.,29,1.2132726907730103,took a nap
7,a_imp,Gabe,1,18.651656958958934,took a nap
7,a_imp, had,2,4.772380828857422,took a nap
7,a_imp, just,3,4.214742183685303,took a nap
7,a_imp, arrived,4,3.7632498741149902,took a nap
7,a_imp, in,5,1.3588852882385254,took a nap
7,a_imp, Miami,6,5.456389427185059,took a nap
7,a_imp, for,7,2.3400068283081055,took a nap
7,a_imp, a,8,1.2053948640823364,took a nap
7,a_imp, business,9,5.10656213760376,took a nap
7,a_imp, trip,10,1.2477662563323975,took a nap
7,a_imp,.,11,1.1958327293395996,took a nap
7,a_imp, He,12,1.4221465587615967,took a nap
7,a_imp, felt,13,5.216662883758545,took a nap
7,a_imp, very,14,4.099883079528809,took a nap
7,a_imp, tired,15,3.927539825439453,took a nap
7,a_imp, from,16,3.874661922454834,took a nap
7,a_imp, his,17,1.476500153541565,took a nap
7,a_imp, flight,18,5.405444145202637,took a nap
7,a_imp,.,19,1.9323688745498657,took a nap
7,a_imp, He,20,1.086428165435791,took a nap
7,a_imp, took,21,4.303157329559326,took a nap
7,a_imp, a,22,0.9621268510818481,took a nap
7,a_imp, nap,23,1.6047228574752808,took a nap
7,a_imp, at,24,3.7258682250976562,took a nap
7,a_imp, the,25,1.2506301403045654,took a nap
7,a_imp, hotel,26,2.2900500297546387,took a nap
7,a_imp,.,27,1.7061436176300049,took a nap
7,b_exp,Gabe,1,18.651656958958934,took a nap
7,b_exp, was,2,4.124835968017578,took a nap
7,b_exp, in,3,4.312951564788818,took a nap
7,b_exp, Miami,4,6.044051170349121,took a nap
7,b_exp, for,5,1.8053617477416992,took a nap
7,b_exp, a,6,1.4068220853805542,took a nap
7,b_exp, business,7,5.144682884216309,took a nap
7,b_exp, trip,8,1.5490944385528564,took a nap
7,b_exp,.,9,1.6677004098892212,took a nap
7,b_exp, He,10,1.5598450899124146,took a nap
7,b_exp, had,11,2.4820985794067383,took a nap
7,b_exp, an,12,4.02070951461792,took a nap
7,b_exp, event,13,4.627318382263184,took a nap
7,b_exp, in,14,2.5730974674224854,took a nap
7,b_exp, the,15,2.3878893852233887,took a nap
7,b_exp, evening,16,5.074579238891602,took a nap
